participant_number,map,rotation,vision,haptic,average_dist_to_nearest_obstacle,time_through_maze,path_length,average_velocity,area_between_lead_and_robot,condition
1,3,0,1,1,0.873993084477195,47.01,28.4366513515856,0.586593551708803,2.75536436961971,1
1,3,90,0,0,0.784508865139988,36.03,14.7957301048621,0.817532315817607,1.70574289043005,4
1,3,180,1,0,0.938807367797302,24.68,29.2912486627091,1.13922738256394,2.95358853656448,3
1,3,180,0,1,0.664781858339978,123.57,52.6735647753635,0.336321544769463,22.1886988795712,2
1,5,0,1,0,0.923817780795968,20.9,15.1092306059955,0.915235370840078,1.0893813324093,3
1,5,0,0,1,0.785929818564422,42.22,15.8957277511081,0.50043881164383,5.06071909341174,2
1,5,90,0,0,0.778212274006517,23.73,14.4566789441329,0.820448308958086,0.954502355812949,4
1,5,270,1,1,0.848879781341287,33.92,14.2773001054839,0.553019415387032,1.51189818337219,1
1,6,0,0,0,0.829906070972817,27.88,14.4112017111589,0.710014129713348,0.595870770874116,4
1,6,180,1,0,0.907629029935568,16.59,14.5701644146459,1.13357043598948,1.83534754481354,3
1,6,270,1,1,0.87527560744264,31.02,14.829304385472,0.633386191973135,1.86666293719586,1
1,6,270,0,1,0.799684154064639,35.28,15.3424265221058,0.562829007561291,6.26596339369054,2
1,7,0,0,1,0.752690221714117,54.89,17.9880448278911,0.368571232770356,3.81239743472595,2
1,7,90,1,0,0.865614975655672,19.33,14.1789885698049,0.897043929373599,1.80017474963606,3
1,7,270,1,1,0.806294373893518,33.1,14.4758761703561,0.555993158251725,1.88777266794406,1
1,7,270,0,0,0.812434990812558,28.09,14.3037215939808,0.68908990587007,1.03752823723737,4
1,8,0,0,0,0.788304105581896,32.21,16.1312396809537,0.61998070597857,1.01659612641446,4
1,8,180,1,1,0.831612177904028,23.5,15.0038843691938,0.786853427067434,2.08407017891403,1
1,8,180,1,0,0.900358686615432,19.15,14.5081813763929,0.914046915769256,2.13323473405286,3
1,8,270,0,1,0.787313140548341,88.58,23.3791312751689,0.289746322718378,4.56416747104856,2
1,9,0,0,1,0.751133680975631,44.14,18.3398958176197,0.462099283529909,3.43234084247137,2
1,9,90,1,0,0.840155520468112,33.89,14.8753154401924,0.543351069193967,1.10936792095174,3
1,9,90,0,0,0.807744308611212,38.84,15.8068127520978,0.71989654721075,1.30869179962764,4
1,9,270,1,1,0.798460748870333,40.12,14.5827851484991,0.505041823808097,2.32869588156778,1
1,10,90,0,1,0.700112799225452,40.17,16.122907973235,0.487268618411181,7.86770274486621,2
1,10,90,0,0,0.820227313007072,35.56,14.3396100622146,0.519823930074975,0.663952030583545,4
1,10,270,1,1,0.901463586451723,24.21,14.7888033979313,0.751187877891521,1.5977374326408,1
1,10,270,1,0,0.902498903246218,19.32,14.1920527345875,0.915346107301663,1.8895168983945,3
1,11,90,1,1,0.816969213331412,35.35,14.4833533024745,0.651203316523763,1.54007604101448,1
1,11,90,0,1,0.617269450928113,63.57,27.7501753383813,0.430226490230587,17.6331358742722,2
1,11,180,0,0,0.780181628256943,33.1,29.5679593271718,0.855078251125,1.77339009232757,4
1,11,270,1,0,0.926730241934788,24.17,14.9811568065954,0.934867383668399,2.41640634661104,3
2,3,90,1,1,0.710822057134505,28.01,14.650338947051,1.03486590069961,9.36354794668483,2
2,3,90,1,0,0.826587802553867,24.1,14.272047236008,1.1296714429311,1.61145407785079,3
2,3,90,0,0,0.780057831772203,51.16,16.2035363620571,0.986920151372769,4.05384981948288,4
2,5,180,1,1,0.742605229600029,25.14,17.641798847212,0.816410920016873,4.66118968619651,2
2,5,180,0,0,0.872820021880289,16.23,15.2774231452312,1.20260615468859,1.18593659522034,4
2,5,270,1,0,0.864206777962284,16.41,14.1138861822231,1.16176389769871,1.19182152571441,3
2,6,0,0,1,0.720713094845168,30.43,16.9426196386278,0.719963690579319,6.1479345203025,1
