"","participant","haptic","visual","condition_nums","experiment","average_time_through_maze","average_path_length","average_velocity","average_proximity","average_force"
"1",1,"0","0","4",1,31.93,22.9192408394863,0.718983011843551,0.800189944548626,0.513381446181452
"2",1,"0","0","4",2,57.0128571428571,35.2576732463167,0.882527386602607,0.698922296372884,1.66429393910647
"3",1,"0","1","3",1,22.25375,19.9765593187374,0.924086074337548,0.900701563306132,0.827500420529586
"4",1,"0","1","3",2,18.23375,20.4045796824754,1.1787043592473,0.900641699679398,1.54842202840178
"5",1,"1","0","2",1,61.5525,26.820758830974,0.429687663954374,0.732364390545087,0.366555166507296
"6",1,"1","0","2",2,162.591428571429,40.3357303699684,0.559404512100927,0.570959894926852,1.19227741254601
"7",1,"1","1","1",1,33.52875,20.5830297163106,0.627909845326439,0.844118571714017,0.292065436836873
"8",1,"1","1","1",2,26.18,20.4369728733566,0.80545982497095,0.81234045158734,0.968164012832875
"9",2,"0","0","4",1,33.3925,29.8803975258179,0.908514003006155,0.81401532926395,1.07963721784424
"10",2,"0","0","4",2,38.7214285714286,22.2779444895106,0.578115018630054,0.781176774308452,0.327907421780115
"11",2,"0","1","3",1,18.89,20.6728925439763,1.09910769063846,0.867378199395301,1.40123774047892
"12",2,"0","1","3",2,28.45125,20.1248930125297,0.713723473576069,0.901973728516894,0.382104011612633
"13",2,"1","0","2",1,39.7983333333333,25.8507445296552,0.647545231500679,0.714941505296839,0.565528263505889
"14",2,"1","0","2",2,59.97375,20.696818060792,0.379369236838954,0.648792545202373,0.617471506872878
"15",2,"1","1","1",1,22.0875,20.9143024212247,0.959562590177997,0.76074767702909,1.00636210602095
"16",2,"1","1","1",2,31.96,20.468299832631,0.642848986544403,0.887329128672141,0.382099194308872
"17",3,"0","0","4",1,19.9828571428571,21.567396594336,1.08121695854136,0.807469433760225,1.4638736101462
"18",3,"0","0","4",2,53.4257142857143,24.752997879936,0.517923912390014,0.747959321683265,0.549670290211431
"19",3,"0","1","3",1,16.945,20.0638770495318,1.19066655609373,0.900237605562676,1.53709506593959
"20",3,"0","1","3",2,26.21375,21.346142932647,0.821422685035698,0.945476219148143,0.862000432083282
"21",3,"1","0","2",2,127.07875,25.2220792170669,0.245285611684284,0.676338671737253,0.217139546290387
"22",3,"1","1","1",1,19.5325,20.7467372122432,1.05920137547043,0.80851151811621,1.32780141556105
"23",3,"1","1","1",2,31.03625,20.6759510224863,0.664438177950834,0.919840493880248,0.393715877712717
"24",4,"0","0","4",1,36.49375,30.6926606331012,0.85518250046858,0.820519744383486,1.13772089001861
"25",4,"0","0","4",2,48.6842857142857,23.3785450548186,0.608348866534702,0.76579818985581,0.566636222929273
"26",4,"0","1","3",1,20.13875,21.1805609956446,1.05120656967341,0.879049020359902,1.36866526713251
"27",4,"0","1","3",2,23.6825,19.8496404366246,0.848466646672993,0.8636346822245,0.662310271529024
"28",4,"1","0","2",1,31.095,24.9232654524885,0.804556454016374,0.723585610631128,1.04804158956079
