"","participant","trial","condition_nums","time_through_maze","max_force","path_length","haptic","visual","map","average_velocity","average_proximity","average_force"
"1","26","P26_1","1",20.2,2.06696086343956,17.7504772744071,"1","1",10,0.878237751866455,0.846158368480671,0.905433089143934
"2","26","P26_10","2",139.64,2.82842712474619,43.7574030581454,"1","0",3,0.316157637762189,0.643658677495069,0.634981270577957
"3","26","P26_11","3",25.3,2.82842712474619,28.3799372409061,"0","1",3,1.12134635826885,0.956313737565978,1.41678807967267
"4","26","P26_12","1",40.71,2.3236684030599,29.0383810860315,"1","1",3,0.712204599356168,0.745797186290656,1.01812588759077
"5","26","P26_13","2",116.04,2.82842712474619,54.3670643988016,"1","0",5,0.657783965638991,0.585600316909317,1.21246616930768
"6","26","P26_14","4",28.88,2.09482515361451,30.0360698059854,"0","0",5,1.02470361016277,0.74245657231742,1.66477616125874
"7","26","P26_15","1",20.02,2.12670216268915,19.574294634322,"1","1",5,0.977028662122494,0.909325773687583,1.1548179720447
"8","26","P26_16","3",15.33,2.33240092193186,19.1435301544559,"0","1",5,1.24797496341775,0.9624174695616,1.73120219335522
"9","26","P26_17","4",56.56,2.82842712474619,20.2364556930845,"0","0",6,0.357826098124979,0.619350528235479,2.00229646890985
"10","26","P26_18","1",20.9,2.26290495359087,19.0583007595477,"1","1",6,0.911494770299637,0.837522728669584,0.929700932972955
"11","26","P26_19","3",15.64,2.82842712474619,19.2275177564577,"0","1",6,1.22872983080238,0.874168197341682,1.66886895990455
"12","26","P26_2","2",232.3,2.82842712474619,45.888749222696,"1","0",10,0.528174618699906,0.524965195274294,1.66885324978936
"13","26","P26_21","1",19.58,2.04811761936998,18.2478034868415,"1","1",7,0.931491634775424,0.876863630192666,0.834158738129787
"14","26","P26_22","2",108.43,2.82842712474619,33.7579578659753,"1","0",7,0.342530104557358,0.570538344184454,1.47856358388469
"15","26","P26_23","3",21.66,2.82842712474619,18.2559909765884,"0","1",7,1.23017601823808,0.786199081175725,1.47505557636146
"16","26","P26_24","4",44.15,2.82842712474619,33.8566923462096,"0","0",7,0.742770967530566,0.704845842991708,1.63926715676223
"17","26","P26_25","2",141.11,2.82842712474619,31.5435607119517,"1","0",8,0.808620088356728,0.584876791637309,0.89251222859257
"18","26","P26_26","1",28.38,2.06517711244609,18.0285565037577,"1","1",8,0.634176442597341,0.783363198818808,0.793433205067386
"19","26","P26_27","4",22.55,2.1607939881701,21.5003192232884,"0","0",8,0.94473384886637,0.796760170197051,1.32378030805997
"20","26","P26_28","3",16.1,2.31894326368438,18.6478901785469,"0","1",8,1.1576424449918,0.963338559462494,1.64315392437968
"21","26","P26_29","3",16.42,2.82842712474619,18.4524782853866,"0","1",9,1.12315751151907,0.878328594959803,1.55951717964715
"22","26","P26_3","3",16.18,2.30523981879941,18.7239974393306,"0","1",10,1.15656114507818,0.917800892325146,1.53331710312952
"23","26","P26_30","2",221.89,2.82842712474619,36.0284978693405,"1","0",9,0.317695268542422,0.571466187684475,0.807626384619932
"24","26","P26_31","1",26.21,2.82842712474619,18.2127273925367,"1","1",9,0.694192748451098,0.7386842796428,1.0640579381881
"25","26","P26_32","4",49.64,2.82842712474619,37.4811199052899,"0","0",9,0.744226541837603,0.708822250986212,1.34219977295949
"26","26","P26_5","4",152.6,2.82842712474619,58.8216450267374,"0","0",11,1.36026354318402,0.536380998401866,2.26745695079278
"27","26","P26_6","2",178.73,2.82842712474619,37.0068794628683,"1","0",11,0.944869901148898,0.515613751303044,1.65093900104988
