participant,trial,condition_nums,time_through_maze,max_force,path_length,haptic,visual,n
26,P26_10,2,139.64,2.8284271247461903,43.75740305814543,1,0,1
26,P26_13,2,116.04,2.8284271247461903,54.36706439880164,1,0,1
26,P26_2,2,232.3,2.8284271247461903,45.88874922269597,1,0,1
26,P26_22,2,108.43,2.8284271247461903,33.757957865975335,1,0,1
26,P26_25,2,141.11,2.8284271247461903,31.54356071195169,1,0,1
26,P26_30,2,221.89,2.8284271247461903,36.02849786934046,1,0,1
26,P26_5,4,152.6,2.8284271247461903,58.821645026737386,0,0,1
26,P26_6,2,178.73,2.8284271247461903,37.00687946286826,1,0,1
28,P28_21,2,130.49,2.8284271247461903,29.26170555245207,1,0,1
28,P28_7,2,123.32000000000001,2.425100463335644,34.368566031880576,1,0,1
29,P29_11,2,158.05,1.1368443807059665,32.114850782809775,1,0,1
29,P29_23,2,154.18,1.7250578730691002,27.273466782375564,1,0,1
29,P29_28,2,150.51,2.000005327740614,25.75373294511104,1,0,1
29,P29_29,2,103.83000000000001,1.5099784474652,22.152789743031185,1,0,1
29,P29_3,2,150.63,1.986829247467953,25.15149968121352,1,0,1
29,P29_8,2,133.97,1.9746592624034112,27.467779371936793,1,0,1
30,P30_12,2,104.44999999999999,2.4781247334780208,34.72427678576693,1,0,1
30,P30_21,2,105.04000000000002,2.8284271247461903,26.983393711892536,1,0,1
30,P30_26,2,149.26999999999998,2.5926809847121204,30.921210786177255,1,0,1
30,P30_32,4,140.35999999999999,2.8284271247461903,31.62583566512388,0,0,1
30,P30_7,2,146.23,2.8284271247461903,44.17166892061981,1,0,1
31,P31_2,2,106.62,2.1362062329564058,25.00872604863422,1,0,1
31,P31_30,2,105.2,2.4593533084092534,24.9686454206239,1,0,1
31,P31_6,2,104.4,2.763588630798644,33.85100787920328,1,0,1
32,P32_21,2,237.52000000000004,2.8284271247461903,40.363911279818794,1,0,1
33,P33_17,2,116.47,2.8284271247461903,22.39838105812341,1,0,1
33,P33_21,4,100.30000000000001,0.17654446509545466,21.647383506817583,0,0,1
33,P33_22,2,190.20999999999998,2.8284271247461903,27.957194117573266,1,0,1
33,P33_28,2,148.70000000000002,2.5818137510345047,29.306734773574885,1,0,1
33,P33_8,4,146.68,0.3618782212758152,31.28190265577389,0,0,1
34,P34_15,2,198.71999999999997,2.749949479543664,39.927005724188646,1,0,1
34,P34_17,2,103.84,2.651205158630813,25.05092186343197,1,0,1
34,P34_19,2,242.22000000000003,2.8284271247461903,35.74556110453133,1,0,1
34,P34_23,2,116.96000000000001,2.134835447075615,25.103393793355,1,0,1
34,P34_25,1,290.19,2.8284271247461903,62.90035521946086,1,1,1
34,P34_26,1,260.27000000000004,2.8284271247461903,47.805025012781655,1,1,1
34,P34_4,2,173.65,2.8284271247461903,36.77976561033053,1,0,1
35,P35_23,2,178.07,2.8284271247461903,19.948218868726787,1,0,1
36,P36_1,2,386.99,2.8284271247461903,48.57075282520853,1,0,1
36,P36_20,2,170.96,2.072199741741571,21.775078518362108,1,0,1
36,P36_24,2,117.27000000000001,1.1700898744759363,24.139616533149052,1,0,1
36,P36_25,4,117.53999999999999,0.1349801389828331,18.524667550327745,0,0,1
36,P36_28,2,149.47000000000003,0.9859713696280035,22.76941900576334,1,0,1
36,P36_30,2,198.73,2.8284271247461903,30.177529949348408,1,0,1
36,P36_31,4,121.52,0.20135993448345235,19.602353381896364,0,0,1
36,P36_5,2,235.72000000000003,2,29.695631531095106,1,0,1
36,P36_8,4,109.9,0.14313946845688325,24.436053174050247,0,0,1
36,P36_9,2,139.60000000000002,2.0000000014039907,36.19153244936133,1,0,1
38,P38_12,2,243.39,2.8284271247461903,40.03595127943212,1,0,1
38,P38_16,2,118.83,2.771755041139065,27.544578976401283,1,0,1
38,P38_21,2,112.45000000000002,2.491698035428604,25.48333490581454,1,0,1
38,P38_28,2,149.06,2.175296153771022,27.136192597997965,1,0,1
38,P38_32,2,134.73000000000002,2.130988750736383,26.979711064578257,1,0,1
38,P38_5,2,125.81,2.2389735073066372,31.117448547689907,1,0,1
